date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
1.5.2020 0.30	JoeBiden	NPR	1019	3194	13064	The number is overwhelming, but each one represents a life thrown into uncertainty, a family unable to make ends meet, and a community worried about how it will recover. We have to do more to help them. Now.				1,26E+18	https://twitter.com/JoeBiden/status/1256018159997464578	
1.5.2020 0.00	JoeBiden		7332	18843	96187	- More than 60,000 people in the U.S. have died - 30 million have filed for unemployment - At least 1 million have gotten sick Enough with the late night Twitter tantrums, Mr. President. It's time for you to step up and lead.				1,26E+18	https://twitter.com/JoeBiden/status/1256010445745344512	
30.4.2020 22.33	JoeBiden		1684	6218	18096	Instead of preparing our country to fight COVID-19, Donald Trump wasted months and promised it would miraculously go away by April. He was wrong. And we're all paying the price.				1,26E+18	https://twitter.com/JoeBiden/status/1255988550522351620	
30.4.2020 20.50	JoeBiden	realDonaldTrump	8015	10016	51165	An open and independent press is more important than ever in times like this. They deserve to be treated with respect — not belittled with schoolyard taunts from this president.				1,26E+18	https://twitter.com/JoeBiden/status/1255962665903697920	
30.4.2020 19.17	JoeBiden	PhilipRucker	2655	12896	48259	Donald Trump either read his daily briefings and ignored the warnings, or didn't read them at all. Either way, it's a complete and unjustifiable dereliction of duty.				1,26E+18	https://twitter.com/JoeBiden/status/1255939345497849860	
30.4.2020 18.29	JoeBiden	mPinoe	729	1105	5991	I’ve been a big fan of Megan’s for years and can’t wait to join her this afternoon. You can watch our chat live at 2:45 PM ET: https://joe.link/2VRzEUZ				1,26E+18	https://twitter.com/JoeBiden/status/1255927332768034819	
30.4.2020 17.00	JoeBiden		1047	3009	11702	We may be physically apart, but we are all in this together.				1,26E+18	https://twitter.com/JoeBiden/status/1255904752199536646	
30.4.2020 15.40	JoeBiden		5000	6610	31487	As president, I promise you I'll honor all those we've lost from COVID-19.				1,26E+18	https://twitter.com/JoeBiden/status/1255884615744516097	
30.4.2020 14.14	JoeBiden	CNN	1702	4982	20688	The climate emergency isn't just a threat to our environment, it's a threat to our health, economy, and so much more. We have to get Donald Trump out of the White House and take action to combat it before it's too late.				1,26E+18	https://twitter.com/JoeBiden/status/1255863198156304385	
30.4.2020 1.30	JoeBiden		2045	3760	13014	In the middle of a global pandemic, the Trump Administration is still working to gut the Affordable Care Act and rip health care away from millions. It's morally reprehensible. They need to drop the lawsuit immediately.				1,26E+18	https://twitter.com/JoeBiden/status/1255670706463006731	
30.4.2020 0.45	JoeBiden		4848	10890	54124	With rent due in a few days and folks across the country worried they won't be able to make their payments, it's clear more needs to be done to provide relief. We need to freeze rent immediately for people who have lost their jobs and place a temporary ban on evictions.				1,26E+18	https://twitter.com/JoeBiden/status/1255659381565214723	
29.4.2020 23.59	JoeBiden		2556	7425	24000	The words of a president matter — and Donald Trump has used his to downplay COVID-19, pass blame onto others, and mislead the American people. I will do the opposite.				1,26E+18	https://twitter.com/JoeBiden/status/1255647805118377985	
